vendor_id	pickup_datetime	dropoff_datetime	pickup_longitude	pickup_latitude	dropoff_longitude	dropoff_latitude	trip_duration	distance	id	HourType	Partition	$L-trip_duration
2	3/14/16 17:24	3/14/16 17:32	-73.982	40.768	-73.965	40.766	455	0.931	id2875421	17	1_Training	442.682
1	6/12/16 0:43	6/12/16 0:54	-73.98	40.739	-73.999	40.731	663	1.122	id2377394	0	1_Training	583.871
2	1/19/16 11:35	1/19/16 12:10	-73.979	40.764	-74.005	40.71	2124	3.968	id3858529	11	1_Training	1761.815
2	4/6/16 19:32	4/6/16 19:39	-74.01	40.72	-74.012	40.707	429	0.923	id3504673	19	2_Testing	399.777
2	3/26/16 13:30	3/26/16 13:38	-73.973	40.793	-73.973	40.783	435	0.739	id2181028	13	1_Training	442.45
2	1/30/16 22:01	1/30/16 22:09	-73.983	40.742	-73.992	40.749	443	0.683	id0801584	22	1_Training	442.306
1	6/17/16 22:34	6/17/16 22:40	-73.969	40.758	-73.957	40.766	341	0.824	id1813257	22	2_Testing	337.229
2	5/21/16 7:54	5/21/16 8:20	-73.969	40.798	-73.922	40.761	1551	3.551	id1324603	7	1_Training	1327.407
1	5/27/16 23:12	5/27/16 23:16	-73.999	40.738	-73.986	40.733	255	0.814	id1301050	23	1_Training	243.101
2	3/10/16 21:45	3/10/16 22:05	-73.981	40.744	-73.973	40.79	1225	3.182	id0012891	21	1_Training	1032.574
2	5/10/16 22:08	5/10/16 22:29	-73.983	40.764	-74.002	40.733	1274	2.365	id1436371	22	2_Testing	1098.418
2	5/15/16 11:16	5/15/16 11:34	-73.992	40.749	-73.957	40.771	1128	2.344	id1299289	11	1_Training	934.609
2	2/19/16 9:52	2/19/16 10:11	-73.963	40.757	-73.984	40.761	1114	1.155	id1187965	9	2_Testing	1000.737
2	6/1/16 20:58	6/1/16 21:02	-73.956	40.768	-73.966	40.763	260	0.616	id0799785	20	1_Training	235.751
2	5/27/16 0:43	5/27/16 1:07	-73.992	40.727	-73.975	40.783	1414	3.966	id2900608	0	2_Testing	1204.164
1	5/16/16 15:29	5/16/16 15:32	-73.956	40.769	-73.949	40.772	211	0.408	id3319787	15	2_Testing	175.236
2	4/11/16 17:29	4/11/16 18:08	-73.991	40.756	-73.999	40.725	2316	2.13	id3379579	17	1_Training	2005.976
1	4/14/16 8:48	4/14/16 9:00	-73.994	40.746	-74	40.723	731	1.577	id1154431	8	1_Training	650.566
1	6/27/16 9:55	6/27/16 10:17	-74.004	40.713	-73.979	40.75	1317	2.862	id3552682	9	2_Testing	1144.859
2	6/5/16 13:47	6/5/16 13:51	-73.984	40.738	-73.991	40.728	251	0.81	id3390316	13	1_Training	239.208
1	2/28/16 2:23	2/28/16 2:31	-73.98	40.742	-73.963	40.761	486	1.557	id2070428	2	1_Training	443.945
2	4/1/16 12:12	4/1/16 12:23	-73.98	40.753	-73.964	40.763	652	1.072	id0809232	12	2_Testing	587.203
1	4/9/16 3:34	4/9/16 3:41	-73.996	40.759	-73.993	40.74	423	1.284	id2352683	3	1_Training	393.058
1	6/25/16 10:36	6/25/16 10:55	-73.994	40.747	-74.006	40.704	1163	3.029	id1603037	10	2_Testing	973.127
2	6/3/16 8:15	6/3/16 8:56	-73.955	40.777	-73.789	40.641	2485	12.802	id3321406	8	1_Training	1056.562
2	2/14/16 13:27	2/14/16 13:49	-73.957	40.771	-73.975	40.733	1283	2.833	id0129640	13	1_Training	1138.51
1	2/27/16 21:56	2/27/16 22:14	-73.984	40.75	-73.959	40.801	1130	3.763	id3587298	21	2_Testing	911.901
1	6/20/16 23:07	6/20/16 23:18	-73.958	40.713	-73.95	40.68	694	2.323	id2104175	23	2_Testing	591.235
2	6/13/16 21:57	6/13/16 22:12	-73.994	40.713	-73.983	40.692	892	1.569	id3973319	21	1_Training	793.56
1	3/23/16 14:10	3/23/16 14:49	-73.982	40.756	-73.866	40.771	2331	6.176	id1410897	14	1_Training	1816.431
1	5/17/16 10:47	5/17/16 11:12	-73.971	40.762	-73.996	40.725	1479	2.836	id0266980	10	1_Training	1285.004
2	5/21/16 13:03	5/21/16 13:20	-73.998	40.72	-74.01	40.672	1048	3.37	id2822549	13	2_Testing	867.849
2	5/10/16 19:27	5/10/16 19:44	-74.006	40.707	-73.986	40.744	1022	2.796	id3075902	19	1_Training	900.373
1	4/17/16 14:38	4/17/16 15:16	-73.99	40.757	-73.871	40.774	2269	6.362	id0023813	14	1_Training	1754.841
1	1/9/16 12:55	1/9/16 13:07	-74.009	40.713	-73.999	40.723	707	0.89	id3970352	12	2_Testing	646.707
1	3/11/16 7:11	3/11/16 7:20	-73.995	40.751	-73.979	40.756	526	0.927	id3361153	7	2_Testing	493.258
1	1/5/16 15:29	1/5/16 15:39	-73.952	40.77	-73.959	40.762	553	0.706	id1870624	15	1_Training	536.346
1	6/23/16 23:00	6/23/16 23:04	-73.988	40.728	-73.981	40.721	277	0.596	id2403238	23	1_Training	240.234
1	5/27/16 14:26	5/27/16 14:46	-73.978	40.758	-73.992	40.731	1189	2.058	id3323083	14	2_Testing	1058.271
1	5/10/16 16:14	5/10/16 16:40	-73.978	40.774	-73.947	40.776	1523	1.608	id3720663	16	1_Training	1347.577
1	4/21/16 21:28	4/21/16 21:52	-73.989	40.746	-73.971	40.793	1450	3.403	id0578558	21	1_Training	1226.834
2	4/14/16 13:27	4/14/16 13:46	-73.975	40.751	-73.954	40.764	1102	1.39	id2573056	13	1_Training	996.785
1	3/14/16 14:05	3/14/16 14:28	-73.975	40.759	-73.953	40.765	1346	1.225	id2129090	14	2_Testing	1196.545
1	3/19/16 1:12	3/19/16 1:18	-73.976	40.74	-73.981	40.73	363	0.713	id3961107	1	1_Training	337.049
2	2/12/16 7:41	2/12/16 7:51	-73.98	40.74	-73.995	40.723	559	1.366	id3326491	7	1_Training	545.89
2	6/13/16 15:52	6/13/16 16:16	-74.016	40.705	-73.982	40.774	1478	5.077	id0718344	15	2_Testing	1172.95
1	1/3/16 16:59	1/3/16 17:04	-73.985	40.732	-73.99	40.721	348	0.817	id3188770	16	1_Training	291.039
2	2/26/16 8:37	2/26/16 8:43	-73.982	40.779	-73.97	40.792	375	1.1	id1956279	8	2_Testing	339.557
1	5/18/16 21:50	5/18/16 22:10	-73.966	40.767	-73.992	40.726	1217	3.149	id2391523	21	2_Testing	1033.667
1	4/10/16 19:11	4/10/16 19:25	-73.965	40.766	-73.961	40.797	876	2.161	id2662609	19	1_Training	747.636
2	1/19/16 23:19	1/19/16 23:44	-73.997	40.753	-73.809	40.817	1557	10.775	id2067879	23	1_Training	670.829
1	5/7/16 13:18	5/7/16 13:46	-73.977	40.774	-73.99	40.733	1647	2.95	id1939961	13	2_Testing	1437.963
2	2/15/16 9:25	2/15/16 9:35	-73.978	40.755	-74.002	40.756	634	1.258	id0675800	9	1_Training	555.418
1	4/13/16 14:24	4/13/16 14:30	-73.969	40.786	-73.96	40.778	365	0.716	id2569332	14	2_Testing	341.929
2	5/15/16 9:42	5/15/16 9:56	-73.935	40.801	-73.983	40.723	819	5.976	id0526266	9	1_Training	611.946
2	4/19/16 11:29	4/19/16 12:27	-73.793	40.658	-73.809	40.69	3528	2.39	id3827863	11	2_Testing	2922.692
2	1/2/16 15:41	1/2/16 16:01	-73.982	40.763	-73.983	40.749	1228	0.97	id1388344	15	2_Testing	1047.913
1	4/22/16 11:28	4/22/16 12:11	-73.995	40.719	-73.983	40.759	2607	2.833	id1079955	11	1_Training	2195.379
1	3/14/16 15:04	3/14/16 15:16	-73.994	40.745	-73.999	40.723	695	1.564	id0256505	15	2_Testing	651.011
1	3/19/16 17:41	3/19/16 17:48	-73.953	40.768	-73.98	40.738	472	2.499	id1530524	17	2_Testing	394.755
1	2/29/16 2:46	2/29/16 2:55	-73.952	40.714	-73.968	40.689	526	1.944	id1674872	2	2_Testing	486.406
2	1/7/16 17:01	1/7/16 17:13	-73.977	40.752	-74.001	40.752	721	1.27	id1040444	17	1_Training	656.285
1	5/13/16 12:32	5/13/16 12:40	-74.002	40.726	-74.007	40.741	512	1.052	id1674996	12	2_Testing	449.371
1	5/24/16 12:16	5/24/16 12:28	-73.994	40.762	-73.981	40.79	720	2.064	id1965939	12	1_Training	644.611
1	4/10/16 16:07	4/10/16 16:10	-74.006	40.733	-74	40.743	174	0.758	id0442192	16	1_Training	192.055
2	5/21/16 17:38	5/21/16 17:46	-74.003	40.739	-73.992	40.745	478	0.684	id0515898	17	1_Training	444.599
2	2/29/16 11:22	2/29/16 11:35	-73.948	40.774	-73.964	40.755	788	1.538	id1182327	11	1_Training	689.925
